Number,Name,LFO Rate,LFO Delay,LFO Trigger,DCO Lfo,DCO PWM,DCO Lfo Mod,DCO Pulse,DCO Saw,DCO Sub Enabled,DCO Sub,DCO Noise,HPF,VCF Freq,VCF Res,VCF Dir,VCF Env,VCF LFO,VCF Key,VCA Dir,VCA Value,ENV Attack,ENV Decay,ENV Sustain,ENV Release,Chorus
11,Strings I,6,0,A,0,0,L,0,1,0,0,0,0,7,0,N,0,0,10,E,0,4,0,10,4.5,1
12,Strings II,4,0,A,0,6,L,1,1,0,0,0,0,7,0,N,0,0,10,E,-2,4,0,10,4.5,2
13,Strings III,3,8,M,0,7,L,1,1,1,10,0,0,5,0,N,0,0,10,E,-2,3,0,10,6,2
14,Organ I,2,8,A,0,5,M,1,0,1,10,0,0,4,6,N,4.5,0,10,G,0,0,0,0,0,1
15,Organ II,5,4,A,0,5.5,L,1,0,1,8,0,0,3.5,5.5,N,4,0,10,G,0,0,1,0,1,1
16,Organ III,5,4,A,0,5.5,L,1,0,1,8,0,0,3.5,5.5,N,3.5,0,10,G,0,0,1,0,1,2
17,Brass,5,6.5,A,1.5,0,M,0,1,0,0,0,0,0,0,N,8.5,0,4,E,2,2.5,4,6,2,1
18,Phase Brass,6,0,A,0,10,E,1,1,0,10,0,0,3,1,N,5.5,0,10,G,-1,2,4,4,3,1
21,Piano I,6,3,M,4.5,6,M,1,0,0,0,0,0,1,0,N,7,0,4,E,2,0,8,1.5,3,0
22,Piano II,4,0,A,0,4,M,1,0,1,4.5,0,0,3.5,0,N,2.5,2,8,E,3,0,7.5,0,3.5,0
23,Celesta,3.5,6,A,0,5,E,1,1,0,10,0,1,3.5,8,N,0,0,10,E,1,0,6.5,2,5.5,0
24,Mellow Piano,5,0,M,0,5,M,1,0,0,10,0,0,3,0,N,2.5,1,9,E,2,1,7.5,2,8.5,1
25,Harpsichord I,5,4,A,0,3,M,1,0,1,7,0,1,3,0,N,5,0,7,E,-1,0,6,3.5,2.5,1
26,Harpsicord II,5.5,6,A,0,2,M,1,0,1,8.5,0,1,5,2.5,N,3,0,10,E,0,0,5,1.5,5,2
27,Guitar,6,6,A,0,6,M,1,0,0,10,0,2,3,0,N,4.5,1.5,5,E,4,0,5.5,3.5,6.5,0
28,Synthetiser Harp,3,8,M,0,0,M,0,1,0,10,0,0,3,0,N,5,0,8,E,1,0,5.5,3,5,1
31,Bass I,5,6,A,0,5,M,1,1,1,3,0,0,3,2.5,N,3.5,0,0,G,0,0,4,1,2.5,1
32,Bass II,5,6,A,0,5,M,1,1,0,3,0,0,3,5,N,4.5,0,5,G,-1,0,3,3.5,2.5,1
33,Clavichord I,6,2.5,M,4,9,M,1,0,0,0,0,0,0,3,N,8,0,6,E,2,0,5,3.5,1.5,1
34,Clavichord II,1,0,A,0,8,M,1,0,0,10,0,1,5.5,7,N,2,2.5,7,E,5,0,4.5,2,2,0
35,Pizzicato Sound I,5,6,A,0,3.5,M,1,0,0,3,0,0,4.5,4,N,3,3,10,E,3,0,2,3.5,5.5,1
36,Pizzicato Sound II,5,6,A,0,2,M,1,0,1,3,0,0,5,4,N,3,0,10,E,1,0,3,3,4,2
37,Xylophone,5,0,A,0,5,M,0,0,1,10,0,1,4,5,N,3,0,6,E,5,0,3.5,0,3.5,0
38,Glockenspiel,5,0,A,0,0,M,1,0,0,0,0,1,4.5,5,N,3,0,6,E,4,0,3,2.5,5,0
41,Violin,6,6,A,2,0,L,0,1,0,0,0,1,6.5,0,N,0,0,10,E,2,4,0,10,4,0
42,Trumpet,2.5,6.5,A,1.5,0,M,0,1,0,0,0,0,0,0,N,8.5,0,4,E,2,2.5,4,6,2,0
43,Horn,2.5,7,A,0,0,M,0,1,0,0,0,0,2,0,N,5.5,2,4,E,2,4,5,6,3,0
44,Tube,2.5,7,A,1.5,0,M,0,1,0,0,0,0,1.5,0,N,6,0,4,E,5,3,4,4,3,0
45,Flute,5.5,5,A,0,0,M,0,1,0,0,1.5,1,5,0,N,0,2,6,E,5,2,6,5,2.5,0
46,Clarinet,5,6.5,A,1.5,0,M,1,0,0,0,0,1,5,3,N,2.5,0,6,E,1,2.5,6,6,2.5,0
47,Oboe,5.5,6.5,A,1.5,6.5,M,1,0,0,0,0,3,4.5,5,N,2.5,0,5,E,5,2,6,6,2.5,0
48,English Horn,5,7,A,2,6.5,M,1,0,0,0,0,3,5,7,N,0,1.5,5,E,5,2,6,6,2.5,0
51,Funny Cat,6,2,M,3,0,M,0,1,0,0,0,1,1.5,7.5,N,5,2,5,E,3,2.5,4,10,1,0
52,Wah Brass,6,2,M,3,0,M,0,1,0,0,0,0,3,7,N,4.5,0,6,G,2,3,3,4,2,0
53,Phase Combination,6,2,M,0,8,M,1,1,0,0,0,0,6,2,N,3,0,2,E,-2,0,7,2,2,1
54,Reed I,6,2,M,4,0,M,1,0,1,0,0,0,1,6,N,7,0,5,G,1,0,8.5,5,1,1
55,Popcorn,0,0,A,0,0,M,0,0,1,10,0,1,2.5,2,N,5.5,0,10,E,3,0,3,2,0,0
56,Reed II,3,8,M,0,0,M,0,0,1,10,0,0,2,0,N,6,0,8,E,0,0,5.5,3,6,1
57,Reed III,6,2,M,2,5,M,0,0,1,10,0,0,3,2,N,3,0,10,E,1,2.5,0,10,2,0
58,PWM Chorus,3,0,M,0,5,L,1,0,1,10,0,0,8,0,N,0,0,10,E,-3,3,0,10,4,2
61,Synthetiser Organ,4.5,6,A,0,6.5,M,1,0,1,7.5,0,0,2.5,0,N,5,2,7,G,0,0,2,5,2.5,2
62,Effect Sound,4.5,6,A,1.5,10,M,1,1,1,7,0,0,6.5,0,I,4.5,0,7,E,2,0,5,0,5.5,1
63,Effect Sound II,5.5,9,A,0,3,L,0,1,1,6.5,0,0,6.5,3,I,4,0,1,G,1,6.5,5.5,2,6.5,1
64,Space Harm,5.5,0,A,2,0,E,0,1,0,0,0,0,6.5,5,N,5.5,0,10,E,1,0,8,8,9,1
65,Funk,3,2.5,A,0,6,M,1,1,1,10,0,0,7.5,6,I,5,0,4.5,G,-3,6,5,0,0,1
66,Space Sound I,6,7,A,2,4.5,M,1,0,1,10,0,0,6.5,7,I,5.5,0,10,G,-2,0,8,0,3,1
67,Mysterious Invention,6,8,A,2,8,E,1,1,0,10,0,0,8,7,I,6,2.5,0,E,0,0,10,0,10,0
68,Space Sound II,3,3,A,0,6,M,1,1,0,8,0,0,2,8.5,N,6,0,10,E,-3,10,10,10,10,1
71,Percussive Sound I,0,0,A,0,0,E,0,0,0,0,4,1,4,10,N,1.5,0,10,E,5,0,3,0,4,0
72,Percussive Sound II,0,0,A,0,0,E,0,0,0,0,5,1,5,10,I,3.5,0,10,E,5,0,3,0,4,0
73,Whistle,5.5,5,A,0,0,M,0,0,0,0,3.5,1,3.5,10,N,1.5,2,10,E,3,3,0,10,1,0
74,Effect Sound III,5.5,4,A,0,0,E,0,0,0,0,3.5,1,3.5,10,N,0,2,10,E,5,0,4,5.5,7,0
75,UFO,6,0,A,0,0,M,0,0,0,0,0,0,0,10,N,7,4,10,E,-1,0,6,10,8,1
76,Space Sound III,6,0,A,0,0,M,0,0,0,0,5,0,5,10,I,4,0,10,E,0,0,10,0,8,1
77,Surf,0,0,A,0,0,E,0,0,0,10,6,0,6,0,N,0,6,10,E,4,0,4,10,8,0
78,Synthetiser Drums,0,0,M,0,0,E,0,0,0,0,2,0,2,10,N,4,2,10,E,1,0,5,0,6,0
